artist_name,genre,popularity,followers,external_url
Lady Gaga,"art pop, dance pop, pop",92,32301481,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms
"Tyler, The Creator","hip hop, rap",88,16860966,https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF
Halsey,"electropop, etherpop, indie poptimism, pop",82,21749756,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2
Addison Rae,social media pop,75,424469,https://open.spotify.com/artist/4gvjmrtzydbMpyJaXUtwvP
Megan Thee Stallion,"houston rap, pop, rap, trap queen",83,9870747,https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK
Summer Walker,"r&b, rap",81,6930165,https://open.spotify.com/artist/57LYzLEk2LcFghVwuWbcuS
Kelsea Ballerini,"contemporary country, country",71,1207715,https://open.spotify.com/artist/3RqBeV12Tt7A8xH3zBDDUF
Linkin Park,"alternative metal, nu metal, post-grunge, rap metal, rock",92,27263950,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz
Gigi Perez,bedroom pop,79,390084,https://open.spotify.com/artist/1iCnM8foFssWlPRLfAbIwo
Gabito Ballesteros,"corrido, sierreno",84,3681440,https://open.spotify.com/artist/6Sbl0NT50roqWvy746MfVf
Rampa,"deep disco house, melodic house",67,161200,https://open.spotify.com/artist/08jywfUS0hp8XYlYs0cvz8
Gucci Mane,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap",78,5672697,https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo
Bryant Barnes,bedroom r&b,69,362941,https://open.spotify.com/artist/1URGXPcURc0aQzLeph65nK
GloRilla,southern hip hop,79,1210149,https://open.spotify.com/artist/2qoQgPAilErOKCwE2Y8wOG
LATIN MAFIA,urbano mexicano,71,1174688,https://open.spotify.com/artist/6XTGKOV9jceQ6f67lnhpbF
Elderbrook,uk dance,70,461993,https://open.spotify.com/artist/2vf4pRsEY6LpL5tKmqWb64
Sharon Van Etten,"art pop, chamber pop, indie rock, melancholia, new jersey indie, singer-songwriter",55,539422,https://open.spotify.com/artist/2wJ4vsxWd7df7dRU4KcoDe
Jin,k-pop,76,8338506,https://open.spotify.com/artist/5vV3bFXnN6D6N3Nj4xRvaV
Damiano David,,55,120990,https://open.spotify.com/artist/7AaGbSgUxJFuZ49VvclNH6
ILLIT,5th gen k-pop,74,1602545,https://open.spotify.com/artist/36cgvBn0aadzOijnjjwqMN
Jordan Davis,contemporary country,75,1345100,https://open.spotify.com/artist/77kULmXAQ6vWer7IIHdGzI
Elmiene,indie r&b,56,110781,https://open.spotify.com/artist/2CLclpIC43fLzsYq6LQvlL
41,new york drill,72,244541,https://open.spotify.com/artist/0yknvLWQZxwsMjhUhwWZQ8
Hunxho,atl trap,67,317800,https://open.spotify.com/artist/508weSx4HBumrGggFmc7br
Beach Weather,pov: indie,71,704019,https://open.spotify.com/artist/7I3bkknknQkIiatWiupQgD
Soccer Mommy,"art pop, bubblegrunge, indie pop, indie rock, small room",53,390301,https://open.spotify.com/artist/4wXchxfTTggLtzkoUhO86Q
Michael Marcagi,,73,195590,https://open.spotify.com/artist/4j96cMcT8GRi11qbvo1cLQ
